#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.68405     1.68405           0
           2     1.68072     1.68238    0.594813
           3     1.68853     1.68443    0.458445
           4     1.67144     1.68118    0.363987
           5     1.65139     1.67523    0.299673
           6     1.65964     1.67263    0.254482
           7     1.70087     1.67666    0.221755
           8     1.67412     1.67634     0.19601
           9     1.69494     1.67841    0.175825
          10     1.67644     1.67821    0.159209
          11     1.66654     1.67715    0.145373
          12     1.68527     1.67783    0.133867
          13     1.63146     1.67426    0.123737
          14     1.67141     1.67406    0.115226
          15     1.64745     1.67229    0.107705
          16     1.67099      1.6722    0.101194
          17     1.65282     1.67106    0.095363
          18     1.73299      1.6745    0.090407
          19     1.63357     1.67235   0.0856708
          20     1.68909     1.67319    0.081541
