#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.235752    0.235752           0
           2    0.231854    0.233842   0.0826755
           3    0.229442    0.232392    0.063249
           4    0.225137    0.230582   0.0499225
           5    0.225421    0.229551   0.0410634
           6    0.228839    0.229434   0.0349073
           7     0.22936    0.229424   0.0303436
           8     0.23387     0.22998   0.0268908
           9    0.233155    0.230334    0.024129
          10    0.230189    0.230322   0.0218503
          11     0.22918    0.230219    0.019955
          12    0.232574    0.230418   0.0183841
          13    0.230408    0.230419   0.0170292
          14    0.227711    0.230231   0.0158468
          15    0.231356    0.230306   0.0148331
          16    0.231521    0.230382   0.0139417
          17    0.229332     0.23032   0.0131437
          18    0.230435    0.230327   0.0124354
          19    0.232498    0.230441    0.011805
          20    0.228336    0.230338   0.0112253
