#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00106635  0.00106635           0
           2 0.000888667 0.000977509 0.000345602
           3  0.00426155  0.00207286 0.000564162
           4           0  0.00155488  0.00033664
           5  0.00035552  0.00131507 0.000235247
           6  0.00035552  0.00115518 0.000175755
           7           0   0.0009902 0.000130964
           8 0.000533253 0.000933088 0.000109103
           9  0.00177689  0.00102686 0.000107571
          10           0 0.000924204 8.76777e-05
          11           0 0.000840205 7.28277e-05
          12           0 0.000770203 6.14511e-05
          13           0 0.000710969 5.25444e-05
          14           0 0.000660195 4.54414e-05
          15  0.00195448  0.00074651 4.80798e-05
          16 0.000710969 0.000744289 4.50409e-05
          17   0.0138126  0.00151569 8.64964e-05
          18           0  0.00143152 7.72883e-05
          19   0.0169847  0.00225354 0.000115444
          20           0  0.00214093 0.000104336
