#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      166.66      166.66           0
           2      166.66      166.66     58.9231
           3     166.611     166.643     45.3546
           4     166.667     166.649     36.0806
           5     166.665     166.652     29.8117
           6     166.664     166.654     25.3556
           7     166.667     166.656     22.0419
           8     166.662     166.657     19.4866
           9     166.656     166.657     17.4584
          10     166.667     166.658     15.8105
          11     166.667     166.659     14.4457
          12     166.667     166.659      13.297
          13     166.667      166.66      12.317
          14     166.667      166.66     11.4713
          15     166.653      166.66     10.7339
          16     166.661      166.66     10.0855
          17     166.282     166.638     9.50954
          18     166.667     166.639      8.9969
          19     166.157     166.614     8.53526
          20     166.667     166.616     8.11988
