T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.81764	 	0.896773	 	0.452438	 	 -0.0355678	 	0.00849297
0.809464	 	0.559489	 	0.972343	 	 -0.184096	 	0.0150324
0.801369	 	0.704378	 	0.783928	 	 -0.332556	 	0.00684602
0.793356	 	0.776093	 	0.496108	 	 -0.28807	 	0.00625469
0.785422	 	0.483861	 	1.02608	 	 -0.16533	 	0.0128994
0.777568	 	0.341098	 	0.35576	 	 0.633647	 	0.00905971
0.769792	 	1.24536	 	0.369078	 	 0.820462	 	0.012743
0.762094	 	0.922643	 	0.559236	 	 -0.353064	 	0.00320873
0.754473	 	0.838113	 	0.808057	 	 -0.225967	 	0.0121751
0.746929	 	0.293389	 	0.897455	 	 -0.240477	 	0.00521453
0.739459	 	0.590435	 	1.12453	 	 0.0901059	 	0.0258821
0.732065	 	0.00596154	 	0.847927	 	 -0.171272	 	0.0046537
0.724744	 	0.896606	 	0.507891	 	 -0.264011	 	0.00578606
0.717497	 	0.134953	 	0.981371	 	 -0.253886	 	0.00665207
0.710322	 	0.774424	 	0.543507	 	 -0.382974	 	0.00419806
0.703218	 	0.389639	 	1.02606	 	 -0.224681	 	0.0111334
0.696186	 	0.862581	 	0.833305	 	 -0.169444	 	0.0118483
0.689224	 	0.840347	 	0.826217	 	 -0.200634	 	0.0109393
0.682332	 	0.513761	 	1.0607	 	 -0.122135	 	0.0163599
0.675509	 	0.627146	 	1.14061	 	 0.195662	 	0.0273113
0.668754	 	0.312613	 	1.36008	 	 0.530602	 	0.0408416
0.662066	 	0.360786	 	1.28144	 	 0.280833	 	0.0281546
0.655446	 	0.0696229	 	1.28106	 	 0.136577	 	0.026529
0.648891	 	1.30373	 	0.644667	 	 0.904628	 	0.0245745
0.642402	 	0.530547	 	0.545173	 	 -0.172985	 	0.00514502
0.635978	 	0.974509	 	0.326369	 	 1.03926	 	0.021026
0.629618	 	0.537083	 	0.6482	 	 -0.255233	 	0.00435004
0.623322	 	1.04064	 	0.741076	 	 0.00127644	 	0.0135462
0.617089	 	0.125076	 	0.716528	 	 0.0257625	 	0.00624662
0.610918	 	0.302676	 	1.17172	 	 -0.0308288	 	0.0212934
0.604809	 	1.20625	 	0.456234	 	 0.345844	 	0.00774947
0.598761	 	0.859165	 	0.599712	 	 -0.428715	 	0.00296209
0.592773	 	0.268579	 	0.824413	 	 -0.180174	 	0.00451524
0.586845	 	0.455797	 	1.07031	 	 -0.115822	 	0.0158381
0.580977	 	0.968948	 	0.668888	 	 -0.288379	 	0.00723274
0.575167	 	0.753692	 	1.00954	 	 0.100579	 	0.0250268
0.569416	 	0.0124346	 	1.10624	 	 -0.197413	 	0.0112685
0.563721	 	0.74037	 	0.741245	 	 -0.373737	 	0.00525082
0.558084	 	1.0757	 	0.711488	 	 0.0197127	 	0.0135144
0.552503	 	0.669598	 	1.1092	 	 0.195249	 	0.0315418
0.546978	 	0.43973	 	1.39586	 	 0.916533	 	0.0511324
0.541509	 	0.154458	 	1.05103	 	 -0.242083	 	0.00915119
0.536093	 	1.02293	 	0.830304	 	 0.173415	 	0.0199168
0.530732	 	0.0924038	 	0.686425	 	 0.0958949	 	0.00668972
0.525425	 	0.460733	 	0.840988	 	 -0.267764	 	0.00576309
0.520171	 	0.332349	 	1.04743	 	 -0.211002	 	0.0110752
0.514969	 	0.528957	 	0.777751	 	 -0.284863	 	0.00506615
0.50982	 	1.00901	 	0.623513	 	 -0.264283	 	0.00705887
0.504721	 	1.06439	 	0.921322	 	 0.646717	 	0.0325149
0.499674	 	1.18508	 	0.441235	 	 0.335287	 	0.0084116
0.494677	 	0.0741634	 	0.880234	 	 -0.197606	 	0.00511922
0.489731	 	1.08359	 	0.420055	 	 0.25171	 	0.00950705
0.484833	 	0.80849	 	1.19975	 	 0.872917	 	0.0507834
0.479985	 	1.12039	 	0.629201	 	 0.0261202	 	0.0107533
0.475185	 	0.825118	 	0.396308	 	 0.333315	 	0.0118904
0.470433	 	0.849612	 	0.877121	 	 -0.0900241	 	0.0185332
0.465729	 	0.131612	 	0.893623	 	 -0.221026	 	0.00452335
0.461072	 	0.562324	 	0.845735	 	 -0.286269	 	0.007791
0.456461	 	0.171986	 	1.11812	 	 -0.163301	 	0.0182896
0.451896	 	0.119043	 	1.24316	 	 0.0283877	 	0.0254889
0.447377	 	0.924458	 	0.525389	 	 -0.298383	 	0.00487008
0.442904	 	0.551774	 	0.881485	 	 -0.270435	 	0.00696358
0.438475	 	0.973365	 	0.665621	 	 -0.270668	 	0.00768489
0.43409	 	0.387393	 	1.42108	 	 0.916143	 	0.0444636
0.429749	 	0.748571	 	0.397928	 	 0.278331	 	0.0124753
0.425451	 	0.288092	 	1.30243	 	 0.267586	 	0.0251944
0.421197	 	0.236465	 	0.667968	 	 0.0570083	 	0.00685371
0.416985	 	0.622117	 	0.859346	 	 -0.264156	 	0.0104071
0.412815	 	0.582335	 	0.651775	 	 -0.297403	 	0.00318928
0.408687	 	0.907452	 	0.661307	 	 -0.380114	 	0.0054285
0.4046	 	0.622239	 	0.834067	 	 -0.296937	 	0.00737096
0.400554	 	0.504777	 	0.775177	 	 -0.271306	 	0.00463898
0.396549	 	0.38614	 	0.660147	 	 -0.0772042	 	0.00567343
0.392583	 	0.640255	 	0.695358	 	 -0.354349	 	0.00362316
0.388657	 	0.6133	 	0.531353	 	 -0.270456	 	0.00432185
0.384771	 	0.554241	 	0.652353	 	 -0.275341	 	0.00436028
0.380923	 	0.462598	 	0.445002	 	 0.0892578	 	0.0067505
0.377114	 	0.421518	 	0.960513	 	 -0.258387	 	0.00827448
0.373343	 	0.766747	 	0.456291	 	 -0.130337	 	0.00907961
0.369609	 	0.624326	 	0.690793	 	 -0.34652	 	0.00427255
0.365913	 	0.742875	 	0.622537	 	 -0.429704	 	0.00241699
0.362254	 	0.361494	 	0.84021	 	 -0.240158	 	0.00485775
0.358631	 	0.146645	 	1.01151	 	 -0.248654	 	0.00823651
0.355045	 	0.998927	 	0.8546	 	 0.184038	 	0.0172914
0.351495	 	0.826402	 	0.602639	 	 -0.443137	 	0.00234943
0.34798	 	0.525739	 	1.07584	 	 -0.0761892	 	0.0215778
0.3445	 	0.53961	 	0.529018	 	 -0.174415	 	0.00460299
0.341055	 	1.23604	 	0.354267	 	 0.941799	 	0.01448
0.337644	 	0.672554	 	0.827303	 	 -0.30652	 	0.00859445
0.334268	 	0.996195	 	0.482664	 	 -0.0915575	 	0.005843
0.330925	 	0.655728	 	0.798385	 	 -0.328389	 	0.00575585
0.327616	 	1.00025	 	0.530685	 	 -0.219813	 	0.00438013
0.32434	 	0.825935	 	0.633403	 	 -0.442313	 	0.00304067
0.321096	 	0.595929	 	0.510901	 	 -0.235036	 	0.00579105
0.317885	 	0.432588	 	0.86411	 	 -0.266904	 	0.00557678
0.314707	 	0.0618148	 	1.02636	 	 -0.249855	 	0.008442
0.311559	 	0.67708	 	0.521299	 	 -0.324636	 	0.00449803
0.308444	 	1.12397	 	0.628238	 	 0.0320689	 	0.0115682
0.305359	 	0.742266	 	0.980821	 	 -0.0682469	 	0.0139274
0.302306	 	0.795948	 	0.757711	 	 -0.353151	 	0.00709572
0.299283	 	0.660679	 	0.463797	 	 -0.158361	 	0.00864053
0.29629	 	0.458461	 	0.629375	 	 -0.134139	 	0.00507584
0.293327	 	0.968955	 	0.573291	 	 -0.319034	 	0.00364636
0.290394	 	0.201446	 	0.789754	 	 -0.125601	 	0.00502166
0.28749	 	0.569561	 	0.480243	 	 -0.142568	 	0.00620053
0.284615	 	0.408176	 	0.768463	 	 -0.202316	 	0.00476271
0.281769	 	0.939009	 	0.634204	 	 -0.360789	 	0.00560819
0.278951	 	0.980686	 	0.966279	 	 0.500997	 	0.0276216
0.276162	 	0.167451	 	1.11008	 	 -0.167814	 	0.016193
0.2734	 	0.308659	 	0.907306	 	 -0.258518	 	0.00494575
0.270666	 	0.0620585	 	0.82953	 	 -0.141661	 	0.00507884
0.267959	 	0.235927	 	1.17032	 	 -0.0644086	 	0.0248735
0.26528	 	0.524113	 	1.00911	 	 -0.18152	 	0.0127408
0.262627	 	0.35144	 	0.865844	 	 -0.243598	 	0.00538203
