T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.0425902	 	0.86487	 	0.604571	 	 -0.429228	 	0.00272403
0.0421643	 	0.747562	 	0.551308	 	 -0.399439	 	0.00372178
0.0417426	 	0.834163	 	0.696692	 	 -0.403256	 	0.00560411
0.0413252	 	0.886767	 	0.63679	 	 -0.410949	 	0.0049193
0.040912	 	0.780125	 	0.651511	 	 -0.4353	 	0.00322851
0.0405028	 	0.776342	 	0.667542	 	 -0.429843	 	0.00331875
0.0400978	 	0.723205	 	0.663695	 	 -0.416395	 	0.00272378
0.0396968	 	0.727757	 	0.673324	 	 -0.411412	 	0.00331446
0.0392999	 	0.769542	 	0.763133	 	 -0.347376	 	0.00778386
0.0389069	 	0.773744	 	0.537447	 	 -0.381425	 	0.00441068
0.0385178	 	0.682052	 	0.553253	 	 -0.363875	 	0.00338305
0.0381326	 	0.869754	 	0.597437	 	 -0.424851	 	0.00307487
0.0377513	 	0.766262	 	0.553177	 	 -0.40794	 	0.00405073
0.0373738	 	0.724575	 	0.530874	 	 -0.352122	 	0.00465497
0.037	 	0.753624	 	0.567482	 	 -0.419666	 	0.003241
0.03663	 	0.598057	 	0.716593	 	 -0.333505	 	0.00414276
0.0362637	 	0.80109	 	0.642712	 	 -0.439165	 	0.00342553
0.0359011	 	0.797367	 	0.640327	 	 -0.446979	 	0.00266413
0.0355421	 	0.775885	 	0.585109	 	 -0.434107	 	0.00296524
0.0351867	 	0.879254	 	0.559423	 	 -0.388582	 	0.00360084
0.0348348	 	0.757063	 	0.552028	 	 -0.394725	 	0.00355278
0.0344865	 	0.756825	 	0.651128	 	 -0.429799	 	0.00272295
0.0341416	 	0.74174	 	0.608914	 	 -0.42955	 	0.00236272
0.0338002	 	0.789084	 	0.633261	 	 -0.446119	 	0.00241356
0.0334622	 	0.698844	 	0.540858	 	 -0.363444	 	0.00395601
0.0331276	 	0.635569	 	0.563107	 	 -0.336929	 	0.00385117
0.0327963	 	0.748122	 	0.680278	 	 -0.421636	 	0.00370765
0.0324683	 	0.679932	 	0.697324	 	 -0.386142	 	0.00364259
0.0321436	 	0.718539	 	0.713696	 	 -0.386225	 	0.00495815
0.0318222	 	0.821339	 	0.64004	 	 -0.431535	 	0.00296028
0.031504	 	0.742521	 	0.61126	 	 -0.433537	 	0.00203246
0.0311889	 	0.728134	 	0.635065	 	 -0.425407	 	0.00238445
0.030877	 	0.763793	 	0.704394	 	 -0.400188	 	0.00504365
0.0305683	 	0.756763	 	0.57768	 	 -0.423728	 	0.00254582
0.0302626	 	0.860343	 	0.648268	 	 -0.420824	 	0.00422731
0.02996	 	0.783753	 	0.679338	 	 -0.429439	 	0.00315447
0.0296604	 	0.904331	 	0.695954	 	 -0.346418	 	0.00655009
0.0293638	 	0.838733	 	0.67895	 	 -0.412623	 	0.00420165
0.0290701	 	0.830405	 	0.701343	 	 -0.386587	 	0.00595904
0.0287794	 	0.794946	 	0.740172	 	 -0.363555	 	0.00638026
0.0284916	 	0.710662	 	0.5524	 	 -0.385692	 	0.00324457
0.0282067	 	0.697436	 	0.623805	 	 -0.411328	 	0.00253599
0.0279246	 	0.789481	 	0.607895	 	 -0.445311	 	0.00247706
0.0276454	 	0.814102	 	0.709325	 	 -0.38886	 	0.00624657
0.0273689	 	0.903163	 	0.679162	 	 -0.366085	 	0.0057272
0.0270953	 	0.867797	 	0.593499	 	 -0.425565	 	0.00293884
0.0268243	 	0.890712	 	0.63302	 	 -0.405201	 	0.00407627
0.0265561	 	0.880733	 	0.584888	 	 -0.409986	 	0.00274036
0.0262905	 	0.98531	 	0.598814	 	 -0.305656	 	0.00470414
0.0260276	 	0.864905	 	0.660055	 	 -0.41316	 	0.00373015
0.0257673	 	0.81199	 	0.671297	 	 -0.416832	 	0.00520618
0.0255096	 	0.732871	 	0.650853	 	 -0.422231	 	0.00335652
0.0252546	 	0.733205	 	0.65669	 	 -0.421134	 	0.0033995
0.025002	 	0.739774	 	0.574111	 	 -0.416301	 	0.0029039
0.024752	 	0.809725	 	0.594699	 	 -0.445086	 	0.00254878
0.0245045	 	0.829077	 	0.640903	 	 -0.442394	 	0.00262344
0.0242594	 	0.796903	 	0.668544	 	 -0.433857	 	0.00319745
0.0240168	 	0.808678	 	0.621092	 	 -0.443269	 	0.00253498
0.0237767	 	0.782411	 	0.59889	 	 -0.437254	 	0.00235247
0.0235389	 	0.850802	 	0.676195	 	 -0.409065	 	0.00499637
0.0233035	 	0.873573	 	0.572174	 	 -0.404013	 	0.00324698
0.0230705	 	0.760277	 	0.59306	 	 -0.433853	 	0.00256314
0.0228398	 	0.786527	 	0.605954	 	 -0.445251	 	0.00277601
0.0226114	 	0.808447	 	0.563944	 	 -0.423675	 	0.00357913
0.0223853	 	0.775053	 	0.601351	 	 -0.439869	 	0.00260976
0.0221614	 	0.820473	 	0.655001	 	 -0.433311	 	0.00344005
0.0219398	 	0.796501	 	0.616781	 	 -0.442823	 	0.0025413
0.0217204	 	0.782223	 	0.621181	 	 -0.438278	 	0.00257725
0.0215032	 	0.760993	 	0.60416	 	 -0.436457	 	0.0020622
0.0212882	 	0.706595	 	0.684335	 	 -0.395028	 	0.00411662
0.0210753	 	0.756113	 	0.667343	 	 -0.428596	 	0.00308678
0.0208645	 	0.724588	 	0.68757	 	 -0.405957	 	0.00392824
0.0206559	 	0.731623	 	0.758583	 	 -0.361446	 	0.00602486
0.0204493	 	0.703895	 	0.753761	 	 -0.358962	 	0.00636801
0.0202448	 	0.717783	 	0.711571	 	 -0.399158	 	0.00446608
0.0200424	 	0.694731	 	0.615787	 	 -0.405682	 	0.00227036
0.0198419	 	0.715583	 	0.66486	 	 -0.416739	 	0.00300159
0.0196435	 	0.779633	 	0.592739	 	 -0.438858	 	0.00243173
0.0194471	 	0.8148	 	0.623862	 	 -0.442812	 	0.00301653
0.0192526	 	0.85513	 	0.581476	 	 -0.422711	 	0.00276222
0.0190601	 	0.840489	 	0.582981	 	 -0.432016	 	0.003062
0.0188695	 	0.859926	 	0.572452	 	 -0.408615	 	0.00338677
0.0186808	 	0.802804	 	0.597499	 	 -0.444158	 	0.00254204
0.018494	 	0.840267	 	0.58591	 	 -0.42955	 	0.00277601
0.0183091	 	0.885936	 	0.555981	 	 -0.378913	 	0.00384378
0.018126	 	0.885254	 	0.578824	 	 -0.401863	 	0.00315432
0.0179447	 	0.827929	 	0.596276	 	 -0.438233	 	0.00283051
0.0177653	 	0.837361	 	0.574064	 	 -0.419342	 	0.0029528
0.0175876	 	0.843691	 	0.60561	 	 -0.43744	 	0.00330918
0.0174117	 	0.842548	 	0.647733	 	 -0.434333	 	0.00342629
0.0172376	 	0.797977	 	0.573184	 	 -0.426986	 	0.00290101
0.0170652	 	0.816456	 	0.571212	 	 -0.428195	 	0.00314829
0.0168946	 	0.872601	 	0.588659	 	 -0.420937	 	0.00356277
0.0167256	 	0.852468	 	0.61227	 	 -0.438082	 	0.00263739
0.0165584	 	0.766539	 	0.617588	 	 -0.44041	 	0.00231496
0.0163928	 	0.783451	 	0.65107	 	 -0.429115	 	0.00425106
0.0162289	 	0.824614	 	0.66974	 	 -0.422898	 	0.00393628
0.0160666	 	0.855987	 	0.635067	 	 -0.423142	 	0.00432107
0.0159059	 	0.843158	 	0.592935	 	 -0.431742	 	0.00252485
0.0157469	 	0.783219	 	0.590179	 	 -0.43331	 	0.00273706
0.0155894	 	0.808547	 	0.640565	 	 -0.439947	 	0.00314851
0.0154335	 	0.841371	 	0.597367	 	 -0.436781	 	0.00235683
0.0152792	 	0.883777	 	0.608153	 	 -0.418921	 	0.00361479
0.0151264	 	0.865845	 	0.606905	 	 -0.425184	 	0.00382206
0.0149751	 	0.850376	 	0.660787	 	 -0.408516	 	0.00469937
0.0148254	 	0.829051	 	0.649061	 	 -0.429134	 	0.00466835
0.0146771	 	0.830109	 	0.60465	 	 -0.442343	 	0.00219965
0.0145303	 	0.842039	 	0.654251	 	 -0.42243	 	0.00426739
0.014385	 	0.835336	 	0.66073	 	 -0.42358	 	0.00409287
0.0142412	 	0.750709	 	0.635788	 	 -0.434425	 	0.00257987
0.0140988	 	0.76412	 	0.652151	 	 -0.429324	 	0.00312081
0.0139578	 	0.74937	 	0.679747	 	 -0.413688	 	0.00384628
0.0138182	 	0.7323	 	0.684577	 	 -0.411365	 	0.00369136
0.01368	 	0.683851	 	0.698718	 	 -0.381651	 	0.003995
0.0135432	 	0.70961	 	0.713193	 	 -0.3838	 	0.00454206
0.0134078	 	0.67039	 	0.64687	 	 -0.390762	 	0.00303361
0.0132737	 	0.739778	 	0.640428	 	 -0.429674	 	0.00258788
0.013141	 	0.765955	 	0.619745	 	 -0.438095	 	0.00244823
0.0130096	 	0.798951	 	0.591952	 	 -0.440778	 	0.00259627
0.0128795	 	0.84431	 	0.641035	 	 -0.428706	 	0.00375498
0.0127507	 	0.807795	 	0.610409	 	 -0.443777	 	0.00224211
0.0126232	 	0.777078	 	0.635086	 	 -0.44428	 	0.00221275
0.0124969	 	0.735635	 	0.681348	 	 -0.418596	 	0.00278192
0.012372	 	0.739129	 	0.682038	 	 -0.409431	 	0.00366678
0.0122482	 	0.714066	 	0.60928	 	 -0.420228	 	0.00227355
0.0121258	 	0.704921	 	0.627587	 	 -0.414152	 	0.00245031
0.0120045	 	0.750518	 	0.605527	 	 -0.435697	 	0.00201015
0.0118845	 	0.755921	 	0.624699	 	 -0.435485	 	0.00232946
0.0117656	 	0.80332	 	0.598582	 	 -0.438693	 	0.00254676
0.011648	 	0.815254	 	0.630563	 	 -0.440525	 	0.00255361
0.0115315	 	0.835959	 	0.598843	 	 -0.436748	 	0.00290049
0.0114162	 	0.808402	 	0.586717	 	 -0.441812	 	0.00224897
0.011302	 	0.803351	 	0.636702	 	 -0.445408	 	0.00304439
0.011189	 	0.754919	 	0.650546	 	 -0.430795	 	0.00250489
0.0110771	 	0.779235	 	0.616256	 	 -0.441737	 	0.0028095
0.0109663	 	0.797838	 	0.602755	 	 -0.442233	 	0.00275821
0.0108567	 	0.772327	 	0.589679	 	 -0.434702	 	0.00281291
0.0107481	 	0.801264	 	0.587108	 	 -0.435425	 	0.00276314
0.0106406	 	0.813325	 	0.594155	 	 -0.443294	 	0.00265713
0.0105342	 	0.798121	 	0.673541	 	 -0.428219	 	0.0042375
0.0104289	 	0.797213	 	0.623047	 	 -0.446182	 	0.00268495
0.0103246	 	0.798147	 	0.611817	 	 -0.441845	 	0.00220009
0.0102213	 	0.759047	 	0.63402	 	 -0.436765	 	0.00248789
0.0101191	 	0.765842	 	0.617358	 	 -0.439601	 	0.00294109
0.0100179	 	0.772229	 	0.618926	 	 -0.441568	 	0.0023862
