#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.312771    0.312771           0
           2    0.317025    0.314898   0.0015041
           3    0.313624    0.314473  0.00106098
           4      0.3129     0.31408 0.000865581
           5    0.312073    0.313679 0.000779989
           6    0.318055    0.314408 0.000930496
           7    0.322329     0.31554  0.00131672
           8    0.316927    0.315713   0.0011635
           9    0.318112     0.31598  0.00106431
          10    0.315124    0.315894 0.000961314
          11    0.320886    0.316348 0.000975162
          12    0.316769    0.316383 0.000894529
          13    0.321841    0.316803 0.000918995
          14     0.31254    0.316498 0.000902385
          15    0.313527      0.3163 0.000863689
          16    0.315632    0.316259 0.000810717
          17    0.320812    0.316526 0.000806066
          18    0.310756    0.316206  0.00082257
          19     0.31375    0.316077  0.00078937
          20    0.319921    0.316269 0.000772946
