#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.2416      2.2416           0
           2     2.15325     2.19742    0.776906
           3     2.19519     2.19668     0.59786
           4     2.16431     2.18859    0.473843
           5     2.21331     2.19353    0.392391
           6     2.11817     2.18097    0.331824
           7     2.16979     2.17937    0.288244
           8     2.20447     2.18251    0.255194
           9     2.22749     2.18751    0.229156
          10     2.17467     2.18623    0.207404
          11      2.1439     2.18238    0.189165
          12     2.20962     2.18465    0.174303
          13     2.15865     2.18265    0.161309
          14     2.20085     2.18395    0.150322
          15     2.20817     2.18556    0.140764
          16     2.10736     2.18068    0.131964
          17     2.15068     2.17891    0.124344
          18     2.16534     2.17816    0.117599
          19     2.19719     2.17916    0.111634
          20     2.12599      2.1765     0.10607
