#   N_BLOCK:  ACCEPTANCE:
           1    0.444468
           2    0.446084
           3    0.446019
           4    0.445908
           5    0.445815
           6    0.446082
           7    0.445737
           8    0.445761
           9    0.445917
          10     0.44575
          11     0.44573
          12    0.445593
          13    0.445607
          14    0.445567
          15    0.445662
          16    0.445676
          17    0.445763
          18      0.4457
          19    0.445568
          20    0.445628
