#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271915    0.271915           0
           2    0.270781    0.271429   0.0959648
           3    0.273567    0.272144   0.0740682
           4    0.268696      0.2713   0.0587383
           5    0.267101    0.270462   0.0483818
           6    0.270796    0.270535   0.0411606
           7    0.270168    0.270508   0.0357773
           8    0.270044    0.270453   0.0316232
           9    0.268264    0.270216   0.0283069
          10    0.268792    0.270074   0.0256215
          11    0.273081    0.270347   0.0234333
          12     0.27578    0.270805   0.0216064
          13    0.270098    0.270751   0.0200099
          14    0.275596    0.271099   0.0186599
          15    0.269898    0.271024   0.0174556
          16    0.273631    0.271187    0.016411
          17     0.26779    0.270988   0.0154645
          18    0.265876    0.270707   0.0146156
          19    0.268936    0.270618   0.0138632
          20    0.274251    0.270804   0.0131974
