#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80266    -3.80266           0
           2    -3.81273     -3.8077  0.00356115
           3    -3.82703    -3.81414  0.00577236
           4    -3.82188    -3.81608  0.00464255
           5    -3.82424    -3.81771  0.00399059
           6     -3.8084    -3.81616  0.00361438
           7    -3.82878    -3.81796  0.00351939
           8    -3.79056    -3.81454  0.00444397
           9    -3.82648    -3.81586  0.00414361
          10    -3.81257    -3.81553  0.00374227
          11    -3.81666    -3.81564  0.00340347
          12    -3.81538    -3.81561  0.00311992
          13    -3.83247    -3.81691  0.00313793
          14    -3.82736    -3.81766  0.00300131
          15    -3.81049    -3.81718  0.00283905
          16     -3.8141    -3.81699  0.00266812
          17    -3.82449    -3.81743   0.0025474
          18    -3.80311    -3.81663   0.0025271
          19    -3.81735    -3.81667  0.00239438
          20    -3.81715    -3.81669  0.00227478
          21    -3.82566    -3.81712  0.00220616
          22    -3.80989    -3.81679  0.00213023
          23    -3.81758    -3.81683  0.00203789
          24    -3.81475    -3.81674  0.00195482
          25    -3.81351    -3.81661  0.00188088
          26      -3.812    -3.81643  0.00181687
          27    -3.81712    -3.81646  0.00174976
          28    -3.82147    -3.81664  0.00169639
          29    -3.81796    -3.81668  0.00163851
          30    -3.80276    -3.81622  0.00164835
