#   N_BLOCK:  ACCEPTANCE:
           1    0.316117
           2    0.317447
           3     0.31752
           4    0.317675
           5    0.317751
           6    0.317795
           7    0.317776
           8    0.317725
           9    0.317974
          10    0.317712
          11    0.317621
          12    0.317494
          13    0.317355
          14    0.317551
          15    0.317444
          16    0.317371
          17    0.317357
          18    0.317348
          19    0.317284
          20    0.317318
