#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.684764   -0.684764           0
           2    -0.68088   -0.682822   0.0013732
           3    -0.68204   -0.682561 0.000939882
           4   -0.683272   -0.682739 0.000721509
           5    -0.68304   -0.682799 0.000579713
           6   -0.681404   -0.682567 0.000527674
           7   -0.683232   -0.682662 0.000460773
           8   -0.683384   -0.682752 0.000411927
           9   -0.680608   -0.682514 0.000429552
          10   -0.684612   -0.682724 0.000434833
          11    -0.68332   -0.682778 0.000398669
          12   -0.683672   -0.682852 0.000372345
          13   -0.684324   -0.682966 0.000360502
          14   -0.680308   -0.682776 0.000381468
          15   -0.684516   -0.682892 0.000373263
          16   -0.683504    -0.68293  0.00035189
          17   -0.682772   -0.682921 0.000331314
          18    -0.68306   -0.682928 0.000312998
          19   -0.682776    -0.68292 0.000296627
          20   -0.682196   -0.682884 0.000283999
