#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.47699     4.47699           0
           2     4.27396     4.37547   0.0717819
           3     4.41075     4.38723   0.0488082
           4      4.4573     4.40475   0.0396246
           5     4.19786     4.36337     0.04873
           6     4.36653      4.3639   0.0406112
           7     4.55509     4.39121   0.0430249
           8     4.54668     4.41064   0.0418058
           9     4.39416     4.40881   0.0372008
          10     4.52648     4.42058   0.0352925
          11      4.4337     4.42177   0.0321043
          12     4.46095     4.42504   0.0295945
          13     4.47015     4.42851   0.0275206
          14     4.39339       4.426   0.0256689
          15     4.56734     4.43542   0.0256288
          16     4.67937     4.45067   0.0281999
          17     4.39176      4.4472   0.0267531
          18     4.24109     4.43575   0.0276089
          19     4.37189     4.43239   0.0263596
          20     4.35775     4.42866   0.0253044
