#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37212     1.37212           0
           2     1.35534     1.36373    0.482152
           3     1.37563      1.3677     0.37224
           4     1.33997     1.36077    0.294614
           5     1.33202     1.35502    0.242393
           6     1.35174     1.35447    0.206076
           7     1.36362     1.35578    0.179315
           8     1.36447     1.35686    0.158654
           9     1.39381     1.36097     0.14257
          10     1.35767     1.36064    0.129081
          11     1.36426     1.36097    0.117966
          12     1.38225     1.36274    0.108727
          13     1.32868     1.36012     0.10052
          14     1.37471     1.36116   0.0936892
          15     1.35534     1.36077   0.0876422
          16     1.38133     1.36206   0.0824255
          17     1.37482     1.36281   0.0777718
          18     1.41295      1.3656   0.0737289
          19     1.34172     1.36434   0.0698921
          20     1.36309     1.36428   0.0664866
