#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.030996    0.030996           0
           2     0.02945    0.030223 0.000546594
           3    0.029576   0.0300073 0.000404713
           4    0.026286    0.029077 0.000860972
           5    0.022736   0.0278088  0.00132706
           6    0.018234    0.026213  0.00182897
           7    0.025588   0.0261237  0.00156986
           8    0.033796   0.0270828  0.00164062
           9     0.03387   0.0278369  0.00162243
          10    0.031026   0.0281558   0.0014912
          11    0.021388   0.0275405  0.00147711
          12    0.021506   0.0270377  0.00143708
          13    0.034032   0.0275757  0.00142369
          14    0.031996   0.0278914  0.00135656
          15    0.021248   0.0274485  0.00133646
          16    0.036402   0.0280081  0.00136507
          17      0.0273   0.0279665  0.00128541
          18    0.027198   0.0279238  0.00121471
          19    0.024628   0.0277503  0.00116309
          20    0.023588   0.0275422   0.0011234
