#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.463056   -0.463056           0
           2   -0.459721   -0.461388  0.00117907
           3   -0.463512   -0.462096 0.000975578
           4    -0.46327    -0.46239 0.000774545
           5   -0.464451   -0.462802 0.000721041
           6   -0.462245   -0.462709 0.000606816
           7   -0.462356   -0.462658 0.000522221
           8   -0.462952   -0.462695  0.00045823
           9   -0.463281    -0.46276 0.000411919
          10   -0.462085   -0.462693  0.00037623
          11   -0.461716   -0.462604 0.000352354
          12   -0.464978   -0.462802 0.000374441
          13   -0.465285   -0.462993 0.000391328
          14    -0.46176   -0.462905 0.000373152
          15   -0.461709   -0.462825 0.000356688
          16   -0.464232   -0.462913 0.000345066
          17   -0.462182    -0.46287 0.000327436
          18    -0.46272   -0.462862 0.000309351
          19   -0.463717   -0.462907 0.000296324
          20    -0.46216   -0.462869 0.000283851
