#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.203054    0.203054           0
           2    0.201387    0.202255    0.071508
           3    0.198341    0.200963   0.0546952
           4    0.195097      0.1995   0.0431929
           5     0.19418    0.198444   0.0354988
           6    0.199409    0.198605   0.0302169
           7    0.195393    0.198147   0.0262069
           8    0.200432    0.198433   0.0232021
           9    0.199723    0.198576   0.0208022
          10    0.199365    0.198656   0.0188461
          11    0.194305    0.198261    0.017185
          12    0.197507    0.198204   0.0158138
          13    0.195879     0.19803   0.0146355
          14    0.194811    0.197802   0.0136147
          15    0.198352     0.19784   0.0127421
          16    0.199489    0.197944   0.0119787
          17    0.200067    0.198069   0.0113033
          18    0.202535    0.198317   0.0107072
          19     0.19908    0.198358   0.0101614
          20    0.193745    0.198128  0.00965555
