#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1 0.000888667 0.000888667           0
           2   0.0583862   0.0296374   0.0203284
           3 0.000710969   0.0199953   0.0156731
           4 0.000177769   0.0150409   0.0125134
           5           0   0.0120327    0.010366
           6  0.00266467   0.0104714  0.00875512
           7  0.00035552  0.00902625  0.00762272
           8   0.0134598  0.00958044  0.00668999
           9 0.000177769   0.0085357  0.00602768
          10           0  0.00768213  0.00548502
          11   0.0124009  0.00811111  0.00500313
          12 0.000177769     0.00745  0.00462967
          13   0.0229609  0.00864314  0.00442462
          14  0.00408419   0.0083175  0.00412054
          15  0.00142165  0.00785778   0.0038714
          16  0.00035552  0.00738889  0.00365772
          17 0.000177769   0.0069647  0.00346707
          18           0  0.00657778  0.00329598
          19           0  0.00623158  0.00314063
          20           0     0.00592  0.00299902
