#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.8084     15.8084           0
           2     13.9333     14.8708    0.662957
           3     15.1906     14.9774    0.450455
           4     14.9136     14.9615    0.338124
           5       14.32     14.8332    0.293834
           6     16.9441      15.185     0.40387
           7     13.9409     15.0073    0.383292
           8     15.7304     15.0977    0.345876
           9     15.8927      15.186    0.318527
          10      14.422     15.1096    0.295694
          11     14.5058     15.0547     0.27386
          12      14.732     15.0278    0.252356
          13     14.4252     14.9815    0.237162
          14     13.5042     14.8759    0.242563
          15     15.4746     14.9159    0.229652
          16     16.0581     14.9872    0.226123
          17      18.046     15.1672    0.275249
          18     13.1546     15.0554    0.281752
          19     16.4745     15.1301    0.276646
          20     14.1444     15.0808    0.267167
