#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.028572    0.028572           0
           2   -0.010622    0.008975   0.0138572
           3   -0.039056 -0.00703533   0.0160072
           4   -0.029416  -0.0126305   0.0129464
           5    -0.05367  -0.0208384   0.0126951
           6     0.03267  -0.0119203    0.013349
           7   -0.054704  -0.0180323   0.0127648
           8    0.084212 -0.00525175   0.0163608
           9    0.018352 -0.00262911   0.0147516
          10    -0.06209  -0.0085752   0.0144251
          11   -0.045648  -0.0119455   0.0135017
          12    0.048374 -0.00691883   0.0132794
          13    0.003218 -0.00613908   0.0122807
          14     0.03594 -0.00313343   0.0117656
          15   -0.041544 -0.00569413   0.0112564
          16   -0.010054 -0.00596662   0.0105562
          17    -0.02297 -0.00696682  0.00998253
          18    -0.04523 -0.00909256  0.00965162
          19   -0.031908  -0.0102934  0.00921804
          20   -0.066522  -0.0131048  0.00917586
