#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.450255    0.450255           0
           2    0.414708    0.432481   0.0125676
           3    0.467092    0.444018   0.0126068
           4    0.446452    0.444627  0.00946979
           5    0.427504    0.441202  0.00817159
           6    0.440109     0.44102  0.00681169
           7    0.417947    0.437724  0.00658801
           8    0.435488    0.437444  0.00577043
           9    0.454252    0.439312  0.00542307
          10    0.426508    0.438031  0.00502965
          11    0.435492    0.437801   0.0045777
          12    0.443519    0.438277  0.00422096
          13    0.424005    0.437179  0.00403652
          14    0.424784    0.436294  0.00384407
          15    0.454087     0.43748  0.00376637
          16    0.439383    0.437599  0.00353285
          17    0.447081    0.438157  0.00336878
          18    0.428388    0.437614  0.00322505
          19    0.443811     0.43794  0.00307176
          20    0.417414    0.436914  0.00308486
