#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -3.86976    -4.04747   0.0161577
         153    -3.79181     -4.0458   0.0161383
         154    -3.85261    -4.04454   0.0160821
         155    -3.89752    -4.04359   0.0160063
         156    -3.80397    -4.04206   0.0159773
         157    -3.88254    -4.04104   0.0159078
         158    -3.92977    -4.04034   0.0158227
         159    -4.00039    -4.04008   0.0157251
         160    -3.94281    -4.03948   0.0156386
         161    -4.06354    -4.03963   0.0155422
         162    -3.97505    -4.03923   0.0154514
         163     -3.8935    -4.03833   0.0153824
         164     -3.9376    -4.03772   0.0153009
         165    -3.93078    -4.03707   0.0152219
         166    -3.94049    -4.03649   0.0151413
         167    -3.94576    -4.03595   0.0150604
         168    -3.94408     -4.0354   0.0149806
         169    -3.93179    -4.03479   0.0149045
         170    -3.84213    -4.03365   0.0148599
         171    -3.85656    -4.03262    0.014809
         172    -3.85845     -4.0316   0.0147575
         173    -3.84944    -4.03055   0.0147097
         174    -3.82164    -4.02935   0.0146741
         175    -3.77073    -4.02787   0.0146645
         176     -3.8626    -4.02693   0.0146112
         177     -3.8616      -4.026   0.0145585
         178    -3.93254    -4.02548   0.0144861
         179     -3.9092    -4.02483   0.0144198
         180    -3.87705      -4.024    0.014363
         181    -3.82074    -4.02288   0.0143275
         182    -3.84835    -4.02192   0.0142808
         183    -3.80407    -4.02073   0.0142523
         184    -3.80143    -4.01954   0.0142246
         185     -3.8738    -4.01875   0.0141695
         186    -3.81352    -4.01765   0.0141362
         187     -3.8067    -4.01652   0.0141056
         188     -3.8843    -4.01582   0.0140481
         189    -3.88358    -4.01512   0.0139912
         190     -3.8858    -4.01444   0.0139341
         191    -3.92085    -4.01395   0.0138697
         192    -3.76336    -4.01264   0.0138588
         193    -3.85645    -4.01183   0.0138106
         194    -3.79936    -4.01074   0.0137827
         195    -3.83604    -4.00984   0.0137411
         196    -3.75289    -4.00853   0.0137334
         197    -3.74145    -4.00718   0.0137305
         198    -3.77328    -4.00599   0.0137118
         199    -3.79984    -4.00496    0.013682
         200    -3.76455    -4.00376   0.0136663
         201    -3.89424    -4.00321   0.0136092
         202    -3.90878    -4.00274   0.0135498
         203    -3.90619    -4.00227   0.0134914
         204    -3.81231    -4.00134   0.0134574
         205    -3.88208    -4.00076   0.0134043
         206    -3.77657    -3.99967   0.0133833
         207    -3.70597    -3.99825   0.0133937
         208    -3.71755     -3.9969   0.0133971
         209    -3.73709    -3.99566   0.0133906
         210    -3.69409    -3.99422   0.0134036
         211    -3.78447    -3.99323   0.0133769
         212    -3.81312    -3.99238   0.0133407
         213    -3.88361    -3.99187   0.0132878
         214    -3.92841    -3.99157   0.0132291
         215    -3.91937    -3.99123   0.0131718
         216    -4.03758    -3.99145   0.0131126
         217    -4.02767    -3.99161   0.0130532
         218    -4.01858    -3.99174   0.0129939
         219    -4.14162    -3.99242   0.0129526
         220    -4.10413    -3.99293   0.0129037
         221    -3.97717    -3.99286   0.0128455
         222    -3.98212    -3.99281   0.0127877
         223    -4.01331     -3.9929   0.0127307
         224     -4.0234    -3.99304   0.0126746
         225    -4.03316    -3.99322   0.0126195
         226    -3.96527    -3.99309   0.0125643
         227     -3.9509    -3.99291   0.0125103
         228    -3.81986    -3.99215   0.0124784
         229    -3.69044    -3.99083   0.0124933
         230    -3.72698    -3.98968   0.0124915
         231    -3.71161    -3.98848   0.0124953
         232    -3.88358    -3.98803   0.0124496
         233    -3.89461    -3.98763   0.0124027
         234    -3.87467    -3.98714    0.012359
         235    -3.94679    -3.98697   0.0123076
         236    -3.83467    -3.98633   0.0122724
         237    -3.82773    -3.98566   0.0122389
         238    -3.80381    -3.98489   0.0122113
         239    -3.76339    -3.98397   0.0121953
         240    -3.75484    -3.98301   0.0121818
         241    -3.76106    -3.98209    0.012166
         242    -3.77755    -3.98125   0.0121451
         243    -3.81898    -3.98058   0.0121134
         244    -3.83729    -3.97999    0.012078
         245    -3.85901     -3.9795   0.0120388
         246    -3.90198    -3.97918    0.011994
         247    -3.86072     -3.9787    0.011955
         248    -3.85324     -3.9782   0.0119175
         249    -3.71729    -3.97715   0.0119156
         250    -3.78702    -3.97639   0.0118922
         251    -3.70922    -3.97532   0.0118924
         252    -3.69302     -3.9742   0.0118978
         253    -3.76984     -3.9734   0.0118782
         254    -3.82247     -3.9728   0.0118463
         255     -3.8056    -3.97215   0.0118179
         256    -3.82366    -3.97157    0.011786
         257    -3.79757    -3.97089   0.0117596
         258    -3.76468    -3.97009   0.0117411
         259    -3.76411    -3.96929   0.0117227
         260     -3.7742    -3.96854   0.0117016
         261    -3.74469    -3.96769   0.0116881
         262    -3.73607     -3.9668   0.0116769
         263    -3.83083    -3.96629    0.011644
         264      -3.753    -3.96548   0.0116279
         265     -3.7863     -3.9648   0.0116036
         266    -3.64941    -3.96362   0.0116204
         267      -3.712    -3.96267    0.011615
         268    -3.77073    -3.96196   0.0115938
         269    -3.72238    -3.96107   0.0115848
         270     -3.7317    -3.96022    0.011573
         271     -3.7065    -3.95928   0.0115681
         272    -3.70534    -3.95835   0.0115632
         273    -3.75312     -3.9576   0.0115453
         274     -3.7369    -3.95679   0.0115312
         275    -3.75551    -3.95606   0.0115125
         276    -3.83145    -3.95561   0.0114796
         277    -3.66005    -3.95454   0.0114876
         278     -3.5875    -3.95322   0.0115219
         279     -3.6117    -3.95199   0.0115455
         280    -3.66216    -3.95096   0.0115505
         281    -3.77772    -3.95034   0.0115259
         282    -3.78567    -3.94976   0.0114998
         283    -3.76196     -3.9491   0.0114783
         284    -3.73133    -3.94833   0.0114635
         285    -3.66845    -3.94735   0.0114652
         286    -3.73819    -3.94662   0.0114484
         287    -3.72133    -3.94583   0.0114354
         288    -3.80022    -3.94533   0.0114069
         289    -3.83533    -3.94494   0.0113738
         290    -3.81543     -3.9445   0.0113433
         291    -3.68153    -3.94359   0.0113403
         292    -3.65623    -3.94261   0.0113441
         293    -3.66063    -3.94165   0.0113461
         294    -3.66932    -3.94072   0.0113452
         295    -3.75583    -3.94009   0.0113241
         296    -3.79576    -3.93961   0.0112963
         297     -3.8801    -3.93941   0.0112601
         298    -3.84446    -3.93909   0.0112268
         299    -3.78274    -3.93857   0.0112014
         300    -3.74025     -3.9379   0.0111836
         301    -3.72902    -3.93721   0.0111679
         302    -3.85908    -3.93695   0.0111339
         303    -3.85001    -3.93666   0.0111009
         304    -3.78371    -3.93616   0.0110758
         305    -3.84469    -3.93586   0.0110435
         306    -3.83354    -3.93553   0.0110125
         307    -3.77811    -3.93501   0.0109885
         308    -3.80866     -3.9346   0.0109605
         309    -3.81615    -3.93422   0.0109317
         310    -3.85035    -3.93395   0.0108998
         311     -3.7567    -3.93338   0.0108797
         312     -3.7918    -3.93293   0.0108543
         313    -3.89103    -3.93279   0.0108204
         314    -3.90653    -3.93271   0.0107863
         315    -3.80533     -3.9323   0.0107596
         316    -3.80532     -3.9319   0.0107331
         317    -3.83426    -3.93159   0.0107036
         318     -3.7785    -3.93111   0.0106808
         319    -3.81186    -3.93074   0.0106538
         320    -3.85192    -3.93049   0.0106234
         321    -3.79509    -3.93007   0.0105987
         322    -3.75625    -3.92953   0.0105795
         323    -3.68974    -3.92879   0.0105728
         324    -3.82899    -3.92848   0.0105446
         325    -3.74837    -3.92793   0.0105267
         326    -3.85867    -3.92771   0.0104966
