#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     65.7413     65.7413           0
           2     70.8327      68.287     24.1431
           3        71.8      69.458     18.9041
           4     77.0295     71.3509     15.4479
           5     68.7042     70.8215     12.6689
           6     75.5051     71.6021     10.8939
           7     79.3049     72.7025     9.61564
           8      84.266      74.148     8.66988
           9     75.5046     74.2987     7.78328
          10     80.4819      74.917     7.10725
          11     77.4836     75.1503     6.51391
          12     77.3497     75.3336     6.01054
          13     79.9501     75.6887      5.5938
          14     76.0538     75.7148     5.21147
          15     79.4386     75.9631     4.89249
          16     77.1594     76.0378     4.60146
          17     83.1262     76.4548     4.36306
          18      79.407     76.6188     4.13667
          19     73.4497      76.452     3.91647
          20     79.7875     76.6188     3.73394
