#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.686044   -0.686044           0
           2   -0.683435   -0.684739  0.00092235
           3   -0.682378   -0.683952 0.000889563
           4   -0.686349   -0.684551 0.000845191
           5   -0.684644    -0.68457 0.000676356
           6   -0.685984   -0.684806 0.000603322
           7   -0.688107   -0.685277 0.000676777
           8   -0.683546   -0.685061 0.000625817
           9   -0.683919   -0.684934 0.000569002
          10    -0.68641   -0.685082 0.000530907
          11   -0.687681   -0.685318 0.000532647
          12    -0.68487    -0.68528 0.000489566
          13    -0.68689   -0.685404 0.000467305
          14   -0.685305   -0.685397  0.00043398
          15   -0.687147   -0.685514  0.00042043
          16   -0.685083   -0.685487 0.000395016
          17   -0.686281   -0.685534 0.000374533
          18   -0.686448   -0.685584 0.000357155
          19   -0.685597   -0.685585 0.000338358
          20   -0.685084    -0.68556 0.000322367
