#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.68005     4.68005           0
           2      4.7409     4.71047      1.6654
           3     4.46693     4.62929     1.25993
           4     4.79484     4.67068     1.01123
           5     4.46848     4.63024    0.828283
           6     4.70685     4.64301    0.706411
           7     4.77837     4.66235    0.616642
           8     4.52617     4.64532    0.543163
           9     4.54956     4.63468    0.485513
          10     4.45698     4.61691    0.437999
          11     4.83516     4.63675    0.401906
          12      4.8179     4.65185    0.371151
          13     4.74872      4.6593    0.344347
          14     4.51294     4.64885    0.319981
          15     4.78275     4.65777    0.299989
          16      4.5463     4.65081    0.281445
          17     5.03171     4.67321    0.266687
          18      4.5811      4.6681    0.252032
          19     4.68949     4.66922    0.239194
          20      4.6448       4.668     0.22749
