#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.079194    0.079194           0
           2    0.086754    0.082974  0.00267286
           3     0.06628   0.0774093  0.00488046
           4    0.093238   0.0813665  0.00501423
           5    0.090198   0.0831328  0.00431127
           6     0.09102   0.0844473  0.00378783
           7    0.096726   0.0862014  0.00363021
           8    0.077504   0.0851142  0.00333526
           9    0.073334   0.0838053  0.00321126
          10    0.072906   0.0827154  0.00306953
          11     0.08305   0.0827458  0.00279064
          12    0.093892   0.0836747  0.00270826
          13    0.099912   0.0849237  0.00277303
          14    0.065638   0.0835461  0.00289698
          15     0.09574   0.0843591   0.0028156
          16    0.067538   0.0833077   0.0028291
          17     0.09566   0.0840344  0.00275441
          18     0.08381   0.0840219  0.00260141
          19    0.089472   0.0843087  0.00248026
          20    0.076394    0.083913  0.00238761
