#   N_BLOCK:  ACCEPTANCE:
           1    0.311476
           2    0.312267
           3    0.312839
           4    0.312725
           5    0.312733
           6    0.312605
           7    0.312258
           8    0.312465
           9    0.312623
          10    0.312369
          11    0.312169
          12    0.312134
          13    0.312084
          14     0.31209
          15     0.31202
          16    0.312022
          17    0.311973
          18    0.311965
          19    0.311899
          20    0.311915
