#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.448326    0.448326           0
           2    0.439942    0.444134    0.157025
           3    0.434633    0.440988    0.120022
           4    0.470305    0.448462   0.0970948
           5    0.411631    0.441504   0.0789787
           6    0.426349    0.439137   0.0668126
           7    0.412718    0.435718   0.0576281
           8     0.40872    0.432566   0.0505785
           9    0.448755    0.434506   0.0455174
          10    0.418859    0.433122   0.0410895
          11    0.423851    0.432325   0.0374732
          12    0.401662    0.429828   0.0342941
          13    0.431895    0.430001   0.0317793
          14     0.40307     0.42814    0.029469
          15    0.418023    0.427474   0.0275319
          16    0.412757    0.426554   0.0258131
          17    0.442488    0.427982   0.0244238
          18    0.409295    0.427043   0.0230562
          19    0.435522    0.427489   0.0218993
          20    0.427906     0.42751   0.0208343
