#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.450165    0.450165           0
           2    0.439417    0.444815    0.157266
           3    0.387553    0.426221    0.116003
           4    0.365448    0.411219   0.0890315
           5    0.439318    0.417762   0.0747315
           6    0.422041    0.419089   0.0637623
           7    0.410837    0.418411   0.0553391
           8    0.383489    0.414521   0.0484686
           9    0.431816    0.416683   0.0436503
          10    0.389486    0.414594   0.0393318
          11    0.408061    0.414016   0.0358863
          12     0.41524    0.414122    0.033041
          13    0.421227    0.416169   0.0307571
          14    0.435688    0.417819   0.0287586
          15    0.412697    0.417739   0.0269049
          16    0.428659     0.41859   0.0253311
          17    0.432204    0.419453    0.023937
          18    0.396237    0.418395   0.0225893
          19    0.396516    0.417244   0.0213745
          20    0.399608    0.416587   0.0203019
