#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     45.6276     45.6276           0
           2     44.6878     45.1577     15.9657
           3     39.7475     43.3543     11.7995
           4     39.1839     42.3117     9.16075
           5     39.7422     41.7978     7.47702
           6      45.396     42.3975     6.45058
           7     44.9705     42.7651     5.65611
           8     38.2602      42.202     4.93454
           9     45.7698     42.5984     4.46246
          10     45.9544      42.934     4.07308
          11     42.2849      42.875     3.71634
          12     43.2511     42.9063     3.42331
          13     53.0165      43.684     3.22848
          14     39.1493     43.3601     2.98449
          15     47.9217     43.6642     2.81224
          16     46.8601      43.864     2.65444
          17     47.7394     44.0919      2.5162
          18      38.567      43.785     2.36396
          19     41.7227     43.6765     2.23745
          20     48.4872      43.917     2.14025
