#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     90.6514     90.6514           0
           2     89.6666      90.159      31.876
           3     87.1275     89.1485     24.2631
           4     90.1066      89.388     19.3531
           5     87.5374     89.0179      15.924
           6     90.5975     89.2812     13.5837
           7     88.0245     89.1017     11.7846
           8     86.9168     88.8285     10.3864
           9     92.4616     89.2322     9.34766
          10     88.6767     89.1767     8.46004
          11     90.2405     89.2734     7.73807
          12     90.3671     89.3645        7.13
          13     88.7777     89.3194     6.60118
          14     91.7466     89.4927     6.15981
          15     90.1633     89.5374     5.76676
          16     93.1028     89.7603     5.43188
          17     91.8863     89.8853     5.12951
          18     90.2601     89.9062     4.85406
          19     93.5483     90.0979     4.61552
          20     89.3418     90.0601     4.38898
