#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.262321    0.262321           0
           2    0.253635    0.258019   0.0912236
           3    0.334758    0.285083   0.0775898
           4    0.265679    0.280301   0.0606869
           5    0.323117    0.289194   0.0517326
           6    0.269238    0.285964   0.0435081
           7    0.298033    0.287775   0.0380611
           8    0.311084    0.290767   0.0339984
           9    0.229951    0.284491   0.0298023
          10    0.290131    0.285061   0.0270433
          11    0.260035    0.282818   0.0245142
          12    0.248105    0.279996   0.0223396
          13    0.284545    0.280353   0.0207196
          14    0.215798    0.275976   0.0189955
          15    0.301713    0.277691    0.017885
          16    0.203018    0.273361   0.0165425
          17    0.211227    0.269849   0.0153995
          18    0.300351    0.271563   0.0146617
          19    0.178468    0.267041   0.0136799
          20    0.273432    0.267361   0.0130296
