#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.368466    0.368466           0
           2    0.370852    0.369659 0.000843593
           3    0.369419    0.369579  0.00056616
           4    0.375197    0.370983  0.00128841
           5    0.374056    0.371598  0.00116812
           6    0.380198    0.373031  0.00163078
           7    0.369196    0.372483  0.00148701
           8    0.374174    0.372695  0.00131607
           9    0.375528    0.373009   0.0012069
          10    0.370676    0.372776  0.00110853
          11    0.370245    0.372546  0.00103135
          12    0.358461    0.371372  0.00146858
          13    0.372094    0.371428  0.00135666
          14    0.374701    0.371662  0.00127975
          15    0.373732      0.3718  0.00120185
          16    0.369781    0.371674  0.00113334
          17    0.371223    0.371647  0.00106698
          18     0.36784    0.371435  0.00102846
          19    0.375468    0.371648  0.00099599
          20    0.370868    0.371609 0.000946954
