#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.32959     4.32959           0
           2     4.62066     4.47512    0.102909
           3     4.58213     4.51079   0.0745313
           4     4.42019     4.48814   0.0592403
           5     4.37124     4.46476    0.051801
           6     4.42396     4.45796   0.0436116
           7     4.44709     4.45641    0.037409
           8     4.35791      4.4441   0.0347001
           9      4.3675     4.43559   0.0318712
          10     4.25154     4.41718   0.0335804
          11     4.19561     4.39704   0.0360665
          12     4.32129     4.39073   0.0336088
          13     4.24714     4.37968   0.0327883
          14     4.28565     4.37296   0.0311266
          15     4.38955     4.37407   0.0290711
          16     4.54759     4.38492   0.0292071
          17     4.53326     4.39364    0.028763
          18     4.54064     4.40181   0.0283007
          19     4.61265      4.4129   0.0289051
          20     4.19365     4.40194   0.0294655
