#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.516201    0.516201           0
           2    0.553858    0.535296    0.189256
           3     0.52555    0.532148    0.144832
           4    0.569963     0.54161    0.117262
           5    0.553566    0.544091     0.09733
           6    0.512322    0.538806   0.0819767
           7    0.504211    0.533884   0.0706116
           8    0.537272    0.534362   0.0624812
           9    0.539781    0.534997   0.0560444
          10    0.510917    0.532603   0.0505272
          11    0.517963    0.531291   0.0460514
          12     0.53431    0.531623   0.0424159
          13    0.523362    0.531123   0.0392528
          14    0.537654    0.531944   0.0366139
          15    0.535625    0.532301   0.0342834
          16     0.50588    0.530815   0.0321225
          17    0.527311    0.530774   0.0302898
          18    0.502416    0.529285   0.0285763
          19    0.537685    0.529862   0.0271437
          20    0.493096    0.528028   0.0257329
