#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95461     2.95461           0
           2     2.94673     2.95067     1.04322
           3     2.92601     2.94245    0.800833
           4     2.97691     2.95106    0.638924
           5     2.82009     2.92487    0.523216
           6     3.01035     2.93912    0.447172
           7     2.92749     2.93745    0.388508
           8     2.98685     2.94363    0.344189
           9     2.86001     2.93434    0.307391
          10     2.92753     2.93366    0.278311
          11      2.9326     2.93356    0.254276
          12     2.93833     2.93396    0.234088
          13      2.9853     2.93791    0.217127
          14     2.89875     2.93511    0.202025
          15     2.80537     2.92646    0.188482
          16     2.90788      2.9253    0.177026
          17     2.91926     2.92494    0.166918
          18     3.01149     2.92975    0.158178
          19     2.94929     2.93078    0.150138
          20     2.83635     2.92606    0.142598
