#   N_BLOCK:  ACCEPTANCE:
           1    0.385821
           2    0.386343
           3    0.386628
           4    0.386311
           5     0.38673
           6    0.386881
           7    0.386981
           8    0.387098
           9    0.387172
          10    0.387002
          11    0.387068
          12    0.387037
          13    0.387065
          14    0.387106
          15    0.387221
          16    0.387231
          17    0.387216
          18    0.387069
          19    0.387024
          20    0.387094
