#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.312771    0.312771           0
           2    0.317025    0.314948    0.111351
           3    0.313624    0.314507    0.085598
           4      0.3129     0.31417   0.0680198
           5    0.312073    0.313764   0.0561278
           6    0.318055    0.314479   0.0478465
           7    0.322329    0.315601   0.0417414
           8    0.316927    0.315771   0.0369221
           9    0.318112    0.316035   0.0331068
          10    0.315124    0.315945   0.0299731
          11    0.320886    0.316394   0.0274245
          12    0.316769    0.316427   0.0252463
          13    0.321841    0.316844   0.0234164
          14     0.31254    0.316537   0.0217873
          15    0.313527     0.31634   0.0203742
          16    0.315632    0.316296   0.0191408
          17    0.320812    0.316562   0.0180653
          18    0.310756    0.316255   0.0170747
          19     0.31375    0.316124   0.0161943
          20    0.319921    0.316318   0.0154155
