#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613932   -0.613932           0
           2    -0.61112   -0.612526 0.000994192
           3   -0.612548   -0.612533 0.000662822
           4   -0.616216   -0.613454 0.000939598
           5   -0.611676   -0.613098   0.0008162
           6    -0.61294   -0.613072 0.000680593
           7   -0.612808   -0.613034  0.00058441
           8   -0.611804   -0.612881 0.000531207
           9   -0.611528    -0.61273 0.000492983
          10   -0.613052   -0.612762 0.000444734
          11    -0.61298   -0.612782 0.000404743
          12   -0.613808   -0.612868 0.000379935
          13   -0.612412   -0.612833 0.000352322
          14    -0.61252    -0.61281 0.000327863
          15   -0.611284   -0.612709 0.000321407
          16   -0.612212   -0.612678 0.000302814
          17     -0.6124   -0.612661 0.000285441
          18   -0.616064    -0.61285 0.000326233
          19    -0.61376   -0.612898 0.000312557
          20   -0.610936     -0.6128 0.000311946
