#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.320645    0.320645           0
           2    0.322166    0.321421     0.11364
           3    0.320346    0.321069   0.0873839
           4    0.317921    0.320283   0.0693432
           5    0.320022    0.320239    0.057286
           6    0.320659    0.320311   0.0487338
           7    0.315207    0.319582    0.042268
           8    0.330062    0.320892   0.0375209
           9     0.32663    0.321535   0.0336829
          10    0.319089    0.321296   0.0304809
          11    0.319556    0.321141    0.027836
          12    0.317897    0.320882   0.0256018
          13    0.319815      0.3208   0.0237088
          14    0.328733    0.321376   0.0221204
          15     0.32051    0.321324   0.0206953
          16    0.320311    0.321269   0.0194417
          17    0.324294    0.321447   0.0183441
          18    0.323771    0.321577    0.017362
          19    0.324901    0.321753   0.0164827
          20    0.315672    0.321468   0.0156664
