#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.08082     3.08082           0
           2     3.08459     3.08271      1.0899
           3      2.9423      3.0359    0.826269
           4     3.00837     3.02902    0.655802
           5     3.10712     3.04464    0.544642
           6     3.10534     3.05476    0.464767
           7     3.15926     3.06969    0.405997
           8     3.20584     3.08671    0.360919
           9     3.09802     3.08796    0.323484
          10     2.94835       3.074    0.291625
          11     2.96941     3.06449    0.265626
          12     3.08846     3.06649    0.244662
          13     3.01855      3.0628    0.226357
          14     3.17172     3.07058    0.211349
          15     3.00258     3.06605    0.197472
          16     3.11192     3.06892    0.185717
          17       3.135      3.0728    0.175356
          18     3.10418     3.07455    0.165996
          19     2.97054     3.06907    0.157222
          20     2.98442     3.06484    0.149362
