#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.374762    0.374762           0
           2    0.385174    0.380034    0.134362
           3    0.374569    0.378229    0.102941
           4    0.377641    0.378092   0.0818593
           5    0.379891    0.378452   0.0676995
           6    0.386768    0.379863   0.0577943
           7    0.373689    0.378984   0.0501245
           8    0.384406    0.379669   0.0443935
           9     0.38156     0.37988   0.0397949
          10      0.3772    0.379631    0.036015
          11    0.375707    0.379275    0.032875
          12    0.369291    0.378444   0.0301944
          13    0.385383    0.378982   0.0280088
          14    0.388855    0.379687    0.026134
          15    0.381519    0.379812   0.0244622
          16    0.374979     0.37951   0.0229662
          17     0.37881    0.379475   0.0216556
          18    0.379838    0.379495   0.0204891
          19    0.382048    0.379631   0.0194476
          20     0.37305    0.379303    0.018485
