#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.67861     4.67861           0
           2     4.97828     4.82845     1.70711
           3     4.61067     4.75585     1.29438
           4     4.52803      4.6989     1.01734
           5     4.65517     4.69015       0.839
           6     4.62224     4.67883    0.711862
           7     4.72648     4.68564    0.619723
           8     4.81025     4.70122    0.549698
           9     4.59418     4.68932    0.491237
          10      4.4658     4.66697    0.442748
          11     4.40821     4.64345    0.402487
          12      4.6818     4.64664    0.370735
          13     4.73637     4.65355    0.343922
          14     4.74059     4.65976    0.320733
          15     4.57604     4.65418    0.299758
          16     4.70005     4.65705    0.281823
          17     4.82249     4.66678     0.26632
          18     4.65765     4.66627    0.251933
          19     4.66743     4.66633    0.239046
          20      4.4665     4.65634    0.226922
