#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.688351   -0.688351           0
           2   -0.685592   -0.686971 0.000975567
           3   -0.685488   -0.686477 0.000765428
           4    -0.68767   -0.686775 0.000629477
           5   -0.686884   -0.686797 0.000503958
           6   -0.684524   -0.686418 0.000543994
           7   -0.687368   -0.686554 0.000482918
           8   -0.685215   -0.686386 0.000450632
           9   -0.685802   -0.686321 0.000405219
          10   -0.683873   -0.686077   0.0004324
          11   -0.685406   -0.686016 0.000397364
          12   -0.686615   -0.686066  0.00036738
          13   -0.687265   -0.686158 0.000350508
          14   -0.686238   -0.686164 0.000325518
          15   -0.684958   -0.686083 0.000313576
          16   -0.686554   -0.686113 0.000295353
          17   -0.684356   -0.686009 0.000295508
          18     -0.6859   -0.686003 0.000279153
          19   -0.686705    -0.68604 0.000266895
          20   -0.685047   -0.685991  0.00025813
