#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.017996    0.017996           0
           2    0.024252    0.021124  0.00221183
           3    0.027192   0.0231467  0.00221399
           4    -0.02223   0.0118025  0.00996368
           5   -0.029264   0.0035892   0.0108399
           6    0.009364  0.00455167  0.00907584
           7   -0.010696  0.00237343  0.00803644
           8    0.035704  0.00653975  0.00803964
           9   -0.006962  0.00503956  0.00728497
          10   -0.005758   0.0039598  0.00663601
          11    -0.01354  0.00236891  0.00622051
          12    0.006552   0.0027175  0.00571189
          13    0.017008  0.00381677  0.00537726
          14    0.001958    0.003684  0.00499481
          15   -0.019282  0.00215293  0.00489085
          16    0.011782  0.00275475  0.00462205
          17    -0.02807 0.000941529  0.00469237
          18   -0.019746-0.000207778  0.00457027
          19    -0.01412    -0.00094  0.00438799
          20    -0.00899  -0.0013425  0.00418701
