#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.421857    0.421857           0
           2    0.418932    0.420649    0.148722
           3    0.421309     0.42087    0.114546
           4    0.411788    0.418658   0.0906422
           5    0.411312     0.41719   0.0746291
           6     0.42657     0.41876   0.0637123
           7    0.410017    0.417533   0.0552229
           8    0.418943    0.417746   0.0488457
           9    0.422346    0.418277   0.0438172
          10    0.416166    0.418068   0.0396614
          11    0.408314    0.417185    0.036161
          12     0.41475     0.41703    0.033273
          13    0.411703    0.416621   0.0307905
          14    0.418846    0.416794   0.0286881
          15    0.416208    0.416766   0.0268423
          16    0.403424    0.415933   0.0251703
          17    0.424094    0.416421    0.023764
          18    0.423522    0.416816    0.022504
          19    0.414097    0.416673   0.0213453
          20    0.406368    0.416165   0.0202814
