#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.58805     7.58805           0
           2     7.02778     7.30792     2.58374
           3     7.71295     7.44293     2.02571
           4     6.95045     7.31981     1.58479
           5      7.3452     7.32489     1.31032
           6     7.55366     7.36302     1.12025
           7     7.19589     7.33914    0.970675
           8     7.64652     7.37756    0.862635
           9     7.42318     7.38263    0.773379
          10     6.80133      7.3245    0.694863
          11     7.40225     7.33157    0.635489
          12     7.66388     7.35926    0.587163
          13      6.7747      7.3143    0.540565
          14        7.92     7.35756    0.506423
          15     7.03111      7.3358     0.47247
          16     7.35884     7.33724    0.444016
          17      7.3884     7.34025    0.418887
          18     7.19322     7.33208    0.395861
          19      7.4449     7.33802    0.375911
          20     6.58631     7.30043    0.355779
