#   N_BLOCK:  ACCEPTANCE:
           1    0.439982
           2    0.441505
           3    0.440925
           4    0.440687
           5    0.440708
           6    0.440762
           7    0.440331
           8    0.440491
           9    0.440489
          10     0.44058
          11     0.44046
          12    0.440336
          13    0.440373
          14    0.440432
          15    0.440459
          16    0.440416
          17    0.440403
          18    0.440324
          19    0.440222
          20    0.440225
