#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.051792    0.051792           0
           2    0.039212    0.045502   0.0044477
           3    0.045692   0.0455653  0.00296559
           4    0.050388    0.046771  0.00245708
           5     0.04557   0.0465308  0.00197737
           6    0.034238    0.044482  0.00249264
           7    0.048246   0.0450197  0.00219378
           8    0.041334    0.044559  0.00196734
           9    0.037202   0.0437416  0.00191104
          10    0.042974   0.0436648  0.00172148
          11    0.040094   0.0433402  0.00159529
          12      0.0393   0.0430035  0.00149746
          13    0.040734   0.0428289  0.00139241
          14    0.033684   0.0421757  0.00143803
          15    0.041918   0.0421585  0.00134226
          16    0.044938   0.0423323  0.00126956
          17     0.04135   0.0422745   0.0011962
          18    0.047352   0.0425566  0.00116253
          19    0.042882   0.0425737  0.00110147
          20    0.039954   0.0424427  0.00105415
