#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271794    0.271794           0
           2    0.271031    0.271524   0.0959983
           3    0.276724    0.273285   0.0743787
           4    0.274818    0.273689   0.0592555
           5    0.275513    0.274055   0.0490244
           6    0.272536    0.273816   0.0416598
           7    0.268422    0.273092   0.0361191
           8    0.275072    0.273348   0.0319618
           9    0.276999    0.273754   0.0286775
          10    0.270838    0.273467   0.0259434
          11    0.272203    0.273352   0.0236937
          12    0.275723    0.273555   0.0218258
          13    0.279141    0.273985   0.0202489
          14     0.27464    0.274033   0.0188618
          15    0.271424    0.273861   0.0176383
          16    0.278784    0.274168   0.0165914
          17    0.268645    0.273846   0.0156276
          18    0.269732    0.273622   0.0147729
          19    0.273331    0.273609   0.0140164
          20    0.275205     0.27369    0.013338
