#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.5571     -0.5571           0
           2   -0.552316   -0.554708  0.00169126
           3   -0.557222   -0.555546  0.00131885
           4   -0.557956   -0.556148   0.0011183
           5   -0.556583   -0.556235 0.000898017
           6   -0.553949   -0.555854 0.000825264
           7   -0.560269   -0.556485 0.000917215
           8   -0.554435   -0.556229 0.000837604
           9    -0.55626   -0.556232 0.000744544
          10   -0.554647   -0.556074 0.000686747
          11   -0.556198   -0.556085 0.000624408
          12   -0.558018   -0.556246 0.000592788
          13   -0.556595   -0.556273 0.000547795
          14   -0.557162   -0.556336 0.000512333
          15   -0.555122   -0.556255 0.000484528
          16   -0.556575   -0.556275 0.000454655
          17   -0.557879    -0.55637 0.000437587
          18   -0.558351    -0.55648 0.000426896
          19   -0.558214   -0.556571 0.000414067
          20   -0.555459   -0.556515 0.000397079
