#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.21897     2.21897           0
           2     2.16139     2.19018    0.774346
           3     2.23086     2.20374    0.599782
           4     2.22626     2.20937    0.478342
           5      2.2648     2.22045    0.397207
           6     2.18707     2.21489    0.336985
           7     2.26502     2.22205    0.293889
           8     2.19539     2.21872    0.259428
           9     2.20027     2.21667    0.232211
          10     2.19647     2.21465      0.2101
          11     2.19098      2.2125    0.191776
          12     2.25757     2.21625    0.176825
          13      2.2294     2.21726    0.163868
          14     2.25051     2.21964    0.152778
          15     2.18545     2.21736    0.142812
          16     2.22632     2.21792    0.134218
          17     2.22451     2.21831    0.126593
          18     2.24083     2.21956    0.119835
          19      2.2585     2.22161    0.113808
          20      2.1954      2.2203    0.108204
