#   N_BLOCK:  ACCEPTANCE:
           1     2.4e-05
           2     2.1e-05
           3 4.93333e-05
           4    3.75e-05
           5    3.24e-05
           6 2.83333e-05
           7 2.42857e-05
           8   2.275e-05
           9 2.37778e-05
          10    2.14e-05
          11 1.96364e-05
          12 1.81667e-05
          13 1.67692e-05
          14 1.55714e-05
          15    1.76e-05
          16  1.7375e-05
          17 3.72941e-05
          18 3.53333e-05
          19 5.33684e-05
          20    5.08e-05
