#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      166.66      166.66           0
           2      166.66      166.66 1.84924e-05
           3     166.611     166.643   0.0133506
           4     166.667     166.649   0.0112169
           5     166.665     166.652  0.00939638
           6     166.664     166.654  0.00803477
           7     166.667     166.656  0.00708027
           8     166.662     166.657  0.00623764
           9     166.656     166.657  0.00554466
          10     166.667     166.658  0.00507795
          11     166.667     166.659  0.00468058
          12     166.667     166.659  0.00433901
          13     166.667      166.66  0.00404272
          14     166.667      166.66  0.00378353
          15     166.653      166.66  0.00356533
          16     166.661      166.66  0.00334323
          17     166.282     166.638   0.0217843
          18     166.667     166.639   0.0206337
          19     166.157     166.614   0.0315137
          20     166.667     166.616   0.0300485
