#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00106635  0.00106635           0
           2 0.000888667 0.000977507 6.28194e-05
           3  0.00426155  0.00207219 0.000894783
           4           0  0.00155414 0.000807241
           5  0.00035552  0.00131442 0.000680457
           6  0.00035552   0.0011546 0.000585515
           7           0 0.000989657 0.000524588
           8 0.000533253 0.000932607 0.000462106
           9  0.00177689  0.00102642 0.000420175
          10           0 0.000923774 0.000390493
          11           0 0.000839795 0.000363912
          12           0 0.000769812 0.000340249
          13           0 0.000710596 0.000319187
          14           0 0.000659839 0.000300397
          15  0.00195448 0.000746148 0.000292507
          16 0.000710969 0.000743949 0.000274233
          17   0.0138126  0.00151269  0.00078919
          18           0  0.00142865 0.000749807
          19   0.0169847   0.0022474  0.00106754
          20           0  0.00213503  0.00102006
