#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449564    0.449564           0
           2    0.456101    0.452833  0.00231109
           3    0.437506    0.447724  0.00444687
           4     0.45178    0.448738  0.00344886
           5    0.459652    0.450921  0.00337994
           6    0.448761    0.450561  0.00283573
           7    0.431753    0.447874  0.00347783
           8    0.466029    0.450143  0.00371037
           9    0.440663     0.44909  0.00344439
          10    0.443234    0.448504  0.00314934
          11    0.447176    0.448384  0.00286536
          12    0.424435    0.446388  0.00324807
          13    0.418748    0.444262  0.00362798
          14    0.441728    0.444081  0.00337335
          15    0.445859    0.444199  0.00315054
          16    0.450588    0.444599  0.00297882
          17     0.44267    0.444485  0.00280576
          18    0.435405    0.443981  0.00269485
          19    0.450728    0.444336  0.00257631
          20    0.453288    0.444783  0.00248607
