#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.3666     15.3666           0
           2     15.1281     15.2474   0.0843366
           3     15.4356     15.3101     0.07607
           4     15.8976      15.457    0.139403
           5     15.8843     15.5424    0.135204
           6     16.4172     15.6882    0.174376
           7     14.5871     15.5309    0.208688
           8     16.4473     15.6455    0.211716
           9     14.5312     15.5217     0.22145
          10     15.0551      15.475    0.204161
          11     15.6511      15.491    0.186228
          12     13.9587     15.3633    0.209974
          13     15.5597     15.3784    0.194365
          14     14.5269     15.3176    0.189759
          15     15.3882     15.3223    0.177167
          16     15.9109     15.3591    0.169871
          17     14.9462     15.3348    0.161605
          18     15.8923     15.3658    0.155566
          19     15.8536     15.3915    0.149483
          20     15.6869     15.4062    0.142737
