#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.849456   -0.849456           0
           2   -0.847132   -0.848294 0.000821658
           3   -0.848424   -0.848337 0.000548914
           4     -0.8517   -0.849178 0.000836376
           5   -0.850836    -0.84951  0.00073189
           6   -0.852232   -0.849963 0.000737258
           7   -0.849812   -0.849942 0.000632253
           8   -0.847628   -0.849653 0.000615827
           9   -0.846412   -0.849292 0.000644115
          10   -0.848848   -0.849248 0.000581235
          11   -0.850384   -0.849351 0.000537492
          12   -0.847432   -0.849191 0.000515948
          13   -0.849088   -0.849183 0.000476321
          14   -0.845848   -0.848945  0.00049833
          15   -0.847872   -0.848874 0.000470216
          16   -0.850484   -0.848974 0.000451471
          17   -0.847924   -0.848912  0.00042912
          18   -0.851604   -0.849062 0.000430544
          19   -0.849084   -0.849063 0.000407886
          20    -0.84944   -0.849082 0.000387926
