#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         140   0.0152778   0.0152778 6.95715e-11
         141   0.0152778   0.0152778 6.93243e-11
         142   0.0152778   0.0152778 6.76841e-11
         143   0.0152778   0.0152778 6.45756e-11
         144   0.0152778   0.0152778 6.28715e-11
         145   0.0152778   0.0152778 6.41287e-11
         146   0.0152778   0.0152778 6.09346e-11
         147   0.0152778   0.0152778 5.91893e-11
         148   0.0152778   0.0152778 6.05214e-11
         149   0.0152778   0.0152778 5.72227e-11
         150   0.0152778   0.0152778 5.54248e-11
         151   0.0152778   0.0152778 5.18898e-11
         152   0.0152778   0.0152778  5.3415e-11
         153   0.0152778   0.0152778 5.15496e-11
         154   0.0152778   0.0152778  4.7834e-11
         155   0.0152778   0.0152778 4.94793e-11
         156   0.0152778   0.0152778 4.56618e-11
         157   0.0152778   0.0152778 4.35784e-11
         158   0.0152778   0.0152778 4.53719e-11
         159   0.0152778   0.0152778 4.12883e-11
         160   0.0152778   0.0152778  4.3168e-11
         161   0.0152778   0.0152778 3.89254e-11
         162   0.0152778   0.0152778 3.65858e-11
         163   0.0152778   0.0152778 3.64734e-11
         164   0.0152778   0.0152778 3.40136e-11
         165   0.0152778   0.0152778 3.39103e-11
         166   0.0152778   0.0152778 3.13002e-11
         167   0.0152778   0.0152778 3.12063e-11
         168   0.0152778   0.0152778 2.84024e-11
         169   0.0152778   0.0152778 2.19352e-11
         170   0.0152778   0.0152778  2.5254e-11
         171   0.0152778   0.0152778  1.7805e-11
         172   0.0152778   0.0152778 2.17431e-11
         173   0.0152778   0.0152778 1.25171e-11
         174   0.0152778   0.0152778 1.76508e-11
         175   0.0152778   0.0152778           0
         176   0.0152778   0.0152778           0
         177   0.0152778   0.0152778           0
         178   0.0152778   0.0152778           0
         179   0.0152778   0.0152778 1.23055e-11
         180   0.0152778   0.0152778 1.22713e-11
         181   0.0152778   0.0152778 1.73062e-11
         182   0.0152778   0.0152778 1.72586e-11
         183   0.0152778   0.0152778 2.43405e-11
         184   0.0152778   0.0152778 2.10221e-11
         185   0.0152778   0.0152778  2.7066e-11
         186   0.0152778   0.0152778 2.41434e-11
         187   0.0152778   0.0152778 2.40788e-11
         188   0.0152778   0.0152778 2.94118e-11
         189   0.0152778   0.0152778 2.67781e-11
         190   0.0152778   0.0152778 3.16007e-11
         191   0.0152778   0.0152778 2.91799e-11
         192   0.0152778   0.0152778 3.36062e-11
         193   0.0152778   0.0152778  3.3519e-11
         194   0.0152778   0.0152778 3.54606e-11
         195   0.0152778   0.0152778 3.53695e-11
         196   0.0152778   0.0152778 3.52792e-11
         197   0.0152778   0.0152778  3.7093e-11
         198   0.0152778   0.0152778 3.69992e-11
         199   0.0152778   0.0152778 3.87075e-11
         200   0.0152778   0.0152778 3.86106e-11
         201   0.0152778   0.0152778 3.85144e-11
         202   0.0152778   0.0152778 4.01273e-11
         203   0.0152778   0.0152778 4.00284e-11
         204   0.0152778   0.0152778 3.99301e-11
         205   0.0152778   0.0152778 4.14591e-11
         206   0.0152778   0.0152778 4.13584e-11
         207   0.0152778   0.0152778 4.43186e-11
         208   0.0152778   0.0152778 4.27127e-11
         209   0.0152778   0.0152778 4.26104e-11
         210   0.0152778   0.0152778 4.54439e-11
         211   0.0152778   0.0152778 4.53361e-11
         212   0.0152778   0.0152778 4.37928e-11
         213   0.0152778   0.0152778 4.65114e-11
         214   0.0152778   0.0152778 4.64026e-11
         215   0.0152778   0.0152778 4.49124e-11
         216   0.0152778   0.0152778 4.75264e-11
         217   0.0152778   0.0152778 4.74167e-11
         218   0.0152778   0.0152778  4.5975e-11
         219   0.0152778   0.0152778 4.84931e-11
         220   0.0152778   0.0152778 4.83828e-11
         221   0.0152778   0.0152778 4.82732e-11
         222   0.0152778   0.0152778 4.94156e-11
         223   0.0152778   0.0152778 4.93046e-11
         224   0.0152778   0.0152778 4.91945e-11
         225   0.0152778   0.0152778 5.02972e-11
         226   0.0152778   0.0152778 5.01858e-11
         227   0.0152778   0.0152778 5.00751e-11
         228   0.0152778   0.0152778 5.22904e-11
         229   0.0152778   0.0152778 5.10292e-11
         230   0.0152778   0.0152778 5.09181e-11
         231   0.0152778   0.0152778 5.08078e-11
         232   0.0152778   0.0152778 5.29525e-11
         233   0.0152778   0.0152778 5.17263e-11
         234   0.0152778   0.0152778 5.16156e-11
         235   0.0152778   0.0152778 5.26135e-11
         236   0.0152778   0.0152778 5.25019e-11
         237   0.0152778   0.0152778 5.12879e-11
         238   0.0152778   0.0152778   5.118e-11
         239   0.0152778   0.0152778 5.32471e-11
         240   0.0152778   0.0152778 5.31361e-11
         241   0.0152778   0.0152778 5.19544e-11
         242   0.0152778   0.0152778 5.18469e-11
         243   0.0152778   0.0152778 5.38528e-11
         244   0.0152778   0.0152778 5.37424e-11
         245   0.0152778   0.0152778 5.25911e-11
         246   0.0152778   0.0152778 5.45431e-11
         247   0.0152778   0.0152778 5.44325e-11
         248   0.0152778   0.0152778 5.43227e-11
         249   0.0152778   0.0152778 5.42135e-11
