#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.001222    0.001222           0
           2    0.002284    0.001753 0.000375474
           3    0.002236    0.001914 0.000282734
           4   -0.001896   0.0009615 0.000851709
           5   -0.005616   -0.000354  0.00135967
           6   -0.007386   -0.001526  0.00155835
           7   -0.001874 -0.00157571  0.00133652
           8    0.007804 -0.00040325  0.00160327
           9    0.007524 0.000477556  0.00164943
          10     0.00303   0.0007328   0.0015041
          11   -0.006608 6.54545e-05  0.00150816
          12   -0.004048-0.000277333   0.0014209
          13    0.005276 0.000149846  0.00137432
          14    0.005046 0.000499571   0.0013199
          15   -0.005028 0.000131067  0.00128232
          16    0.009524 0.000718125  0.00132978
          17     0.00061 0.000711765  0.00125157
          18    0.001216 0.000739778  0.00118236
          19   -0.003072 0.000539158  0.00113702
          20   -0.006868   0.0001688  0.00113889
