#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.34959     1.34959           0
           2     1.34464     1.34712    0.476278
           3     1.34706      1.3471    0.366634
           4     1.33406     1.34384     0.29095
           5      1.3275     1.34057    0.239808
           6     1.34233     1.34086    0.204006
           7     1.34214     1.34105    0.177367
           8     1.34055     1.34098    0.156797
           9     1.37422     1.34468    0.140864
          10     1.34552     1.34476    0.127575
          11     1.37213     1.34725    0.116777
          12     1.37717     1.34974     0.10769
          13     1.31798      1.3473   0.0995726
          14     1.34745     1.34731   0.0927358
          15     1.33955     1.34679   0.0867417
          16     1.36405     1.34787    0.081567
          17     1.35895     1.34852   0.0769565
          18     1.38662     1.35064   0.0729214
          19     1.32972     1.34954   0.0691339
          20     1.34769     1.34945   0.0657639
