#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.32959     4.32959           0
           2     4.62066     4.47513      1.5822
           3     4.58213     4.51079     1.22768
           4     4.42019     4.48814    0.971712
           5     4.37124     4.46476    0.798681
           6     4.42396     4.45796    0.678257
           7     4.44709     4.45641    0.589405
           8     4.35791      4.4441    0.519634
           9      4.3675     4.43559    0.464657
          10     4.25154     4.41718    0.419051
          11     4.19561     4.39704    0.381128
          12     4.32129     4.39073    0.350317
          13     4.24714     4.37968    0.323682
          14     4.28565     4.37296    0.300992
          15     4.38955     4.37407    0.281717
          16     4.54759     4.38492    0.265355
          17     4.53326     4.39364    0.250733
          18     4.54064     4.40181    0.237655
          19     4.61265      4.4129    0.226063
          20     4.19365     4.40194    0.214524
