#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.368466    0.368466           0
           2    0.370852    0.369716    0.130714
           3    0.369419    0.369619    0.100597
           4    0.375197    0.371057   0.0803362
           5    0.374056    0.371658   0.0664843
           6    0.380198    0.373088   0.0567635
           7    0.369196    0.372534   0.0492714
           8    0.374174    0.372767   0.0435865
           9    0.375528    0.373078   0.0390823
          10    0.370676    0.372852   0.0353718
          11    0.370245    0.372615   0.0322977
          12    0.358461    0.371436   0.0296352
          13    0.372094    0.371489    0.027455
          14    0.374701    0.371723   0.0255858
          15    0.373732    0.371863   0.0239503
          16    0.369781    0.371735   0.0224957
          17    0.371223    0.371705   0.0212122
          18     0.36784    0.371494   0.0200571
          19    0.375468    0.371708   0.0190418
          20    0.370868    0.371674   0.0181131
